Regime,Duty Cycle (%),Final Loss,Training Time (s),Loss vs Baseline (%)
Continuous,100.0,0.00030474417144432664,4.207404613494873,0.0
Passive,50.0,0.001987630734220147,2.0089914798736572,552.2292862238597
Active,50.0,0.0022593296598643064,2.0126640796661377,641.3856839841351
