Regime,Duty Cycle (%),Final Loss,Training Time (s),Loss vs Baseline (%)
Continuous,100.0,0.01291297934949398,89.23930215835571,0.0
Passive,50.0,0.013939705677330494,44.30475640296936,7.951118793330586
Active,50.0,0.017063330858945847,43.61145806312561,32.14092888342229
