Problem,D->C %,C->B pp,B->E pp,D->E %,residual pp
Burgers,-8.2 [-10.5,-6.1],-3.0,0.0,-11.2 [-13.5,-9.0],1.8e-15
Allen-Cahn,75.8 [32.9,122.0],161.4,0.0,237.2 [155.6,310.5],2.8e-14
Heat,20.6 [3.0,39.7],205.6,0.0,226.2 [114.9,373.8],5.7e-14
Wave,143.0 [56.8,237.1],3814.7,0.0,3957.7 [174.5,10435.5],0.0e+00
Advection,178.7 [60.3,334.6],1297.0,0.0,1475.7 [657.7,2369.9],0.0e+00
