lambda_physics,state_violations,train_mae,test_mae,train_rmse,test_rmse,interpretation
0.0,415,0.00018987927991480618,0.0010823475554688,0.00023767729147872635,0.0019970154207553025,"Overfits, no physics"
0.01,33,0.000342185455569931,0.002704723652964467,0.0004340986921388469,0.005698703402664427,Weak regularization
0.1,6,0.0001437603784049396,0.0007206937452926669,0.00019517150903066702,0.0013136753391175325,✓ Optimal balance
1.0,19,0.000377131962170124,0.0013766846881519406,0.0004721840263388365,0.0022217992953602033,Over-constrained
10.0,0,0.0023232521313007806,0.009906097514518984,0.002973406041160371,0.014768532528673406,Physics dominates
