Regime,Duty Cycle (%),Final Loss,Training Time (s),Loss vs Baseline (%)
Continuous,100.0,0.0016466054366901517,4.244363784790039,0.0
Passive,50.0,0.004487961996346712,2.07309889793396,172.55843423959433
Active,50.0,0.005809846334159374,2.0421032905578613,252.83779615338634
