seed,mae,rmse,clusters,compression_ratio,train_time_s
42,0.0002863869690445199,0.00035970031015876837,91,97.29166666666667,3.422236919403076
123,0.00013058917072309884,0.0001681048692033453,97,97.11309523809524,3.409982681274414
456,0.0001304072685287716,0.00017261061034303725,95,97.17261904761905,3.2633609771728516
789,0.00036342147182240954,0.0004475031763073778,90,97.32142857142857,3.33272647857666
2024,0.00045598685049547507,0.0005571371587413465,93,97.23214285714286,3.344564199447632
