x,y,p,u,v
0.0,0.0,2.615304947,0.02019991726,0.0
0.0,0.008163265884,2.627048254,0.07955019176,0.0
0.0,0.01632653177,2.633555412,0.1561849266,0.0
0.0,0.02448979579,2.616688013,0.2294877172,0.0
0.0,0.03265306354,2.610228539,0.2994585633,0.0
0.0,0.04081632569,2.606910229,0.3660974503,0.0
0.0,0.04897959158,2.60631752,0.4294044077,0.0
0.0,0.05714285746,2.608112574,0.4893794358,0.0
0.0,0.06530612707,2.61331439,0.5460224748,0.0
0.0,0.0734693855,2.622829676,0.5993336439,0.0
0.0,0.08163265139,2.636376858,0.6493127942,0.0
0.0,0.08979591727,2.653491259,0.6959600449,0.0
0.0,0.09795918316,2.673947096,0.7392753363,0.0
0.0,0.106122449,2.697403193,0.7792586684,0.0
0.0,0.1142857149,2.723366976,0.8159100413,0.0
0.0,0.1224489808,2.751210451,0.8492295146,0.0
0.0,0.1306122541,2.780183792,0.8792170286,0.0
0.0,0.1387755126,2.809432268,0.9058725834,0.0
0.0,0.146938771,2.838018894,0.9291961789,0.0
0.0,0.1551020443,2.8649683,0.9491878152,0.0
0.0,0.1632653028,2.889289379,0.9658475518,0.0
0.0,0.1714285761,2.910068035,0.9791753292,0.0
0.0,0.1795918345,2.926426649,0.989171207,0.0
0.0,0.1877551079,2.937767267,0.9958350658,0.0
0.0,0.1959183663,2.943832397,0.9991670251,0.0
0.0,0.4,2.615304947,0.02019991726,-0.0
0.0,0.391836734116,2.627048254,0.07955019176,-0.0
0.0,0.38367346823000004,2.633555412,0.1561849266,-0.0
0.0,0.37551020421000003,2.616688013,0.2294877172,-0.0
0.0,0.36734693646000005,2.610228539,0.2994585633,-0.0
0.0,0.35918367431000003,2.606910229,0.3660974503,-0.0
0.0,0.35102040842000004,2.60631752,0.4294044077,-0.0
0.0,0.34285714254,2.608112574,0.4893794358,-0.0
0.0,0.33469387293,2.61331439,0.5460224748,-0.0
0.0,0.32653061450000004,2.622829676,0.5993336439,-0.0
0.0,0.31836734861000004,2.636376858,0.6493127942,-0.0
0.0,0.31020408273,2.653491259,0.6959600449,-0.0
0.0,0.30204081684,2.673947096,0.7392753363,-0.0
0.0,0.293877551,2.697403193,0.7792586684,-0.0
0.0,0.2857142851,2.723366976,0.8159100413,-0.0
0.0,0.2775510192,2.751210451,0.8492295146,-0.0
0.0,0.26938774590000003,2.780183792,0.8792170286,-0.0
0.0,0.26122448740000004,2.809432268,0.9058725834,-0.0
0.0,0.25306122900000005,2.838018894,0.9291961789,-0.0
0.0,0.24489795570000003,2.8649683,0.9491878152,-0.0
0.0,0.2367346972,2.889289379,0.9658475518,-0.0
0.0,0.22857142390000001,2.910068035,0.9791753292,-0.0
0.0,0.22040816550000003,2.926426649,0.989171207,-0.0
0.0,0.21224489210000003,2.937767267,0.9958350658,-0.0
0.0,0.20408163370000001,2.943832397,0.9991670251,-0.0
