x,y,p,u,v
0.0,0.0,2.615304947,0.02019991726,0.0
0.008163265884,0.0,2.606842995,0.0,0.0
0.01632653177,0.0,2.589866161,0.0,0.0
0.02448979579,0.0,2.587220907,0.0,0.0
0.03265306354,0.0,2.584036827,0.0,0.0
0.04081632569,0.0,2.580569744,0.0,0.0
0.04897959158,0.0,2.575698853,0.0,0.0
0.05714285746,0.0,2.569001198,0.0,0.0
0.06530612707,0.0,2.559907675,0.0,0.0
0.0734693855,0.0,2.547921419,0.0,0.0
0.08163265139,0.0,2.532550812,0.0,0.0
0.08979591727,0.0,2.5133183,0.0,0.0
0.09795918316,0.0,2.489751816,0.0,0.0
0.106122449,0.0,2.461405754,0.0,0.0
0.1142857149,0.0,2.42787075,0.0,0.0
0.1224489808,0.0,2.388806581,0.0,0.0
0.1306122541,0.0,2.343970776,0.0,0.0
0.1387755126,0.0,2.293243885,0.0,0.0
0.146938771,0.0,2.236668348,0.0,0.0
0.1551020443,0.0,2.174466372,0.0,0.0
0.1632653028,0.0,2.107047319,0.0,0.0
0.1714285761,0.0,2.035019636,0.0,0.0
0.1795918345,0.0,1.959168673,0.0,0.0
0.1877551079,0.0,1.880422115,0.0,0.0
0.1959183663,0.0,1.799817681,0.0,0.0
0.2040816396,0.0,1.718479395,0.0,0.0
0.2122448981,0.0,1.637493253,0.0,0.0
0.2204081714,0.0,1.557855725,0.0,0.0
0.2285714298,0.0,1.480528712,0.0,0.0
0.2367347032,0.0,1.406341672,0.0,0.0
0.2448979616,0.0,1.335939527,0.0,0.0
0.253061235,0.0,1.269800901,0.0,0.0
0.2612245083,0.0,1.208229423,0.0,0.0
0.2693877518,0.0,1.151375055,0.0,0.0
0.2775510252,0.0,1.099250793,0.0,0.0
0.2857142985,0.0,1.051747918,0.0,0.0
0.293877542,0.0,1.008671641,0.0,0.0
0.3020408154,0.0,0.9697598219,0.0,0.0
0.3102040887,0.0,0.9347026944,0.0,0.0
0.318367362,0.0,0.9031708837,0.0,0.0
0.3265306056,0.0,0.8748216033,0.0,0.0
0.3346938789,0.0,0.849318862,0.0,0.0
0.3428571522,0.0,0.8263366818,0.0,0.0
0.3510204256,0.0,0.8055725098,0.0,0.0
0.3510204256,0.0,0.8055725098,0.0,0.0
0.3591836691,0.0,0.7866945863,0.0,0.0
0.3673469424,0.0,0.7694726586,0.0,0.0
0.3755102158,0.0,0.7529411316,0.0,0.0
0.3836734891,0.0,0.7369855046,0.0,0.0
0.3918367326,0.0,0.7138678432,0.0,0.0
0.400000006,0.0,0.715020895,0.0,0.0
0.4040000141,0.0,0.7165156007,0.0,0.0
0.4081999958,0.0,0.7054792047,0.0,0.0
0.4126099944,0.0,0.6973840594,0.0,0.0
0.4172405005,0.0,0.6899782419,0.0,0.0
0.4221025407,0.0,0.6830658913,0.0,0.0
0.4272076488,0.0,0.6762037873,0.0,0.0
0.4325680435,0.0,0.6693887711,0.0,0.0
0.4381964505,0.0,0.6625072956,0.0,0.0
0.4441062808,0.0,0.6555099487,0.0,0.0
0.4503115714,0.0,0.6483552456,0.0,0.0
0.4568271637,0.0,0.6410175562,0.0,0.0
0.4636685252,0.0,0.6334742308,0.0,0.0
0.470851928,0.0,0.6257051826,0.0,0.0
0.4783945382,0.0,0.6176892519,0.0,0.0
0.7918165326,0.0,0.3076899648,0.0,0.0
0.7821858525,0.0,0.317258209,0.0,0.0
0.7725551128,0.0,0.326820761,0.0,0.0
0.7629243731,0.0,0.3363773823,0.0,0.0
0.7532936335,0.0,0.3459276259,0.0,0.0
0.7436628938,0.0,0.3554709554,0.0,0.0
0.7340321541,0.0,0.3650068045,0.0,0.0
0.7244014144,0.0,0.3745345771,0.0,0.0
0.7147706747,0.0,0.3840538859,0.0,0.0
0.705139935,0.0,0.393564254,0.0,0.0
0.6955092549,0.0,0.4030653238,0.0,0.0
0.6858785152,0.0,0.4125567675,0.0,0.0
0.6762477756,0.0,0.4220370948,0.0,0.0
0.6666170359,0.0,0.4315050244,0.0,0.0
0.6569862962,0.0,0.4409613907,0.0,0.0
0.6473555565,0.0,0.450407058,0.0,0.0
0.6377248168,0.0,0.4598422647,0.0,0.0
0.6280940771,0.0,0.4692676663,0.0,0.0
0.6184633374,0.0,0.4786841869,0.0,0.0
0.6088326573,0.0,0.4880932271,0.0,0.0
0.5992019176,0.0,0.4974967539,0.0,0.0
0.589571178,0.0,0.5068973899,0.0,0.0
0.5799404383,0.0,0.5162985325,0.0,0.0
0.5703096986,0.0,0.5257045627,0.0,0.0
0.5606789589,0.0,0.5351211429,0.0,0.0
0.5510482192,0.0,0.544554472,0.0,0.0
0.5414174795,0.0,0.5540141463,0.0,0.0
0.5317867398,0.0,0.5635059476,0.0,0.0
0.5221560001,0.0,0.5730521679,0.0,0.0
0.512529552,0.0,0.582683742,0.0,0.0
0.5033614635,0.0,0.5919339657,0.0,0.0
0.4946299791,0.0,0.6008276343,0.0,0.0
0.4863142669,0.0,0.6094053984,0.0,0.0
0.4783945382,0.0,0.6176892519,0.0,0.0
1.100000024,0.0,0.002322096843,0.0,0.0
1.090369344,0.0,0.00991973374,0.0,0.0
1.080738544,0.0,0.01955235004,0.0,0.0
1.071107864,0.0,0.02913965844,0.0,0.0
1.061477065,0.0,0.0387564376,0.0,0.0
1.051846385,0.0,0.04837156087,0.0,0.0
1.042215586,0.0,0.05799219012,0.0,0.0
1.032584906,0.0,0.0676105544,0.0,0.0
1.022954106,0.0,0.07722701132,0.0,0.0
1.013323426,0.0,0.0868422389,0.0,0.0
1.003692746,0.0,0.09645730257,0.0,0.0
0.9940619469,0.0,0.10607218,0.0,0.0
0.9844312072,0.0,0.1156869382,0.0,0.0
0.9748004675,0.0,0.1253013462,0.0,0.0
0.9651697874,0.0,0.1349152625,0.0,0.0
0.9555390477,0.0,0.1445284933,0.0,0.0
0.945908308,0.0,0.1541408747,0.0,0.0
0.9362775683,0.0,0.1637523472,0.0,0.0
0.9266468287,0.0,0.1733627468,0.0,0.0
0.917016089,0.0,0.1829719543,0.0,0.0
0.9073853493,0.0,0.1925798208,0.0,0.0
0.8977546096,0.0,0.2021861076,0.0,0.0
0.8881238699,0.0,0.211790666,0.0,0.0
0.8784931302,0.0,0.2213933468,0.0,0.0
0.8688624501,0.0,0.2309939116,0.0,0.0
0.8592317104,0.0,0.2405920327,0.0,0.0
0.8496009707,0.0,0.2501873672,0.0,0.0
0.8399702311,0.0,0.2597796619,0.0,0.0
0.8303394914,0.0,0.2693687975,0.0,0.0
0.8207087517,0.0,0.2789548635,0.0,0.0
0.811078012,0.0,0.2885377109,0.0,0.0
0.8014472723,0.0,0.2981163561,0.0,0.0
0.7918165326,0.0,0.3076899648,0.0,0.0
0.0,0.4,2.615304947,0.02019991726,-0.0
0.008163265884,0.4,2.606842995,0.0,-0.0
0.01632653177,0.4,2.589866161,0.0,-0.0
0.02448979579,0.4,2.587220907,0.0,-0.0
0.03265306354,0.4,2.584036827,0.0,-0.0
0.04081632569,0.4,2.580569744,0.0,-0.0
0.04897959158,0.4,2.575698853,0.0,-0.0
0.05714285746,0.4,2.569001198,0.0,-0.0
0.06530612707,0.4,2.559907675,0.0,-0.0
0.0734693855,0.4,2.547921419,0.0,-0.0
0.08163265139,0.4,2.532550812,0.0,-0.0
0.08979591727,0.4,2.5133183,0.0,-0.0
0.09795918316,0.4,2.489751816,0.0,-0.0
0.106122449,0.4,2.461405754,0.0,-0.0
0.1142857149,0.4,2.42787075,0.0,-0.0
0.1224489808,0.4,2.388806581,0.0,-0.0
0.1306122541,0.4,2.343970776,0.0,-0.0
0.1387755126,0.4,2.293243885,0.0,-0.0
0.146938771,0.4,2.236668348,0.0,-0.0
0.1551020443,0.4,2.174466372,0.0,-0.0
0.1632653028,0.4,2.107047319,0.0,-0.0
0.1714285761,0.4,2.035019636,0.0,-0.0
0.1795918345,0.4,1.959168673,0.0,-0.0
0.1877551079,0.4,1.880422115,0.0,-0.0
0.1959183663,0.4,1.799817681,0.0,-0.0
0.2040816396,0.4,1.718479395,0.0,-0.0
0.2122448981,0.4,1.637493253,0.0,-0.0
0.2204081714,0.4,1.557855725,0.0,-0.0
0.2285714298,0.4,1.480528712,0.0,-0.0
0.2367347032,0.4,1.406341672,0.0,-0.0
0.2448979616,0.4,1.335939527,0.0,-0.0
0.253061235,0.4,1.269800901,0.0,-0.0
0.2612245083,0.4,1.208229423,0.0,-0.0
0.2693877518,0.4,1.151375055,0.0,-0.0
0.2775510252,0.4,1.099250793,0.0,-0.0
0.2857142985,0.4,1.051747918,0.0,-0.0
0.293877542,0.4,1.008671641,0.0,-0.0
0.3020408154,0.4,0.9697598219,0.0,-0.0
0.3102040887,0.4,0.9347026944,0.0,-0.0
0.318367362,0.4,0.9031708837,0.0,-0.0
0.3265306056,0.4,0.8748216033,0.0,-0.0
0.3346938789,0.4,0.849318862,0.0,-0.0
0.3428571522,0.4,0.8263366818,0.0,-0.0
0.3510204256,0.4,0.8055725098,0.0,-0.0
0.3510204256,0.4,0.8055725098,0.0,-0.0
0.3591836691,0.4,0.7866945863,0.0,-0.0
0.3673469424,0.4,0.7694726586,0.0,-0.0
0.3755102158,0.4,0.7529411316,0.0,-0.0
0.3836734891,0.4,0.7369855046,0.0,-0.0
0.3918367326,0.4,0.7138678432,0.0,-0.0
0.400000006,0.4,0.715020895,0.0,-0.0
0.4040000141,0.4,0.7165156007,0.0,-0.0
0.4081999958,0.4,0.7054792047,0.0,-0.0
0.4126099944,0.4,0.6973840594,0.0,-0.0
0.4172405005,0.4,0.6899782419,0.0,-0.0
0.4221025407,0.4,0.6830658913,0.0,-0.0
0.4272076488,0.4,0.6762037873,0.0,-0.0
0.4325680435,0.4,0.6693887711,0.0,-0.0
0.4381964505,0.4,0.6625072956,0.0,-0.0
0.4441062808,0.4,0.6555099487,0.0,-0.0
0.4503115714,0.4,0.6483552456,0.0,-0.0
0.4568271637,0.4,0.6410175562,0.0,-0.0
0.4636685252,0.4,0.6334742308,0.0,-0.0
0.470851928,0.4,0.6257051826,0.0,-0.0
0.4783945382,0.4,0.6176892519,0.0,-0.0
0.7918165326,0.4,0.3076899648,0.0,-0.0
0.7821858525,0.4,0.317258209,0.0,-0.0
0.7725551128,0.4,0.326820761,0.0,-0.0
0.7629243731,0.4,0.3363773823,0.0,-0.0
0.7532936335,0.4,0.3459276259,0.0,-0.0
0.7436628938,0.4,0.3554709554,0.0,-0.0
0.7340321541,0.4,0.3650068045,0.0,-0.0
0.7244014144,0.4,0.3745345771,0.0,-0.0
0.7147706747,0.4,0.3840538859,0.0,-0.0
0.705139935,0.4,0.393564254,0.0,-0.0
0.6955092549,0.4,0.4030653238,0.0,-0.0
0.6858785152,0.4,0.4125567675,0.0,-0.0
0.6762477756,0.4,0.4220370948,0.0,-0.0
0.6666170359,0.4,0.4315050244,0.0,-0.0
0.6569862962,0.4,0.4409613907,0.0,-0.0
0.6473555565,0.4,0.450407058,0.0,-0.0
0.6377248168,0.4,0.4598422647,0.0,-0.0
0.6280940771,0.4,0.4692676663,0.0,-0.0
0.6184633374,0.4,0.4786841869,0.0,-0.0
0.6088326573,0.4,0.4880932271,0.0,-0.0
0.5992019176,0.4,0.4974967539,0.0,-0.0
0.589571178,0.4,0.5068973899,0.0,-0.0
0.5799404383,0.4,0.5162985325,0.0,-0.0
0.5703096986,0.4,0.5257045627,0.0,-0.0
0.5606789589,0.4,0.5351211429,0.0,-0.0
0.5510482192,0.4,0.544554472,0.0,-0.0
0.5414174795,0.4,0.5540141463,0.0,-0.0
0.5317867398,0.4,0.5635059476,0.0,-0.0
0.5221560001,0.4,0.5730521679,0.0,-0.0
0.512529552,0.4,0.582683742,0.0,-0.0
0.5033614635,0.4,0.5919339657,0.0,-0.0
0.4946299791,0.4,0.6008276343,0.0,-0.0
0.4863142669,0.4,0.6094053984,0.0,-0.0
0.4783945382,0.4,0.6176892519,0.0,-0.0
1.100000024,0.4,0.002322096843,0.0,-0.0
1.090369344,0.4,0.00991973374,0.0,-0.0
1.080738544,0.4,0.01955235004,0.0,-0.0
1.071107864,0.4,0.02913965844,0.0,-0.0
1.061477065,0.4,0.0387564376,0.0,-0.0
1.051846385,0.4,0.04837156087,0.0,-0.0
1.042215586,0.4,0.05799219012,0.0,-0.0
1.032584906,0.4,0.0676105544,0.0,-0.0
1.022954106,0.4,0.07722701132,0.0,-0.0
1.013323426,0.4,0.0868422389,0.0,-0.0
1.003692746,0.4,0.09645730257,0.0,-0.0
0.9940619469,0.4,0.10607218,0.0,-0.0
0.9844312072,0.4,0.1156869382,0.0,-0.0
0.9748004675,0.4,0.1253013462,0.0,-0.0
0.9651697874,0.4,0.1349152625,0.0,-0.0
0.9555390477,0.4,0.1445284933,0.0,-0.0
0.945908308,0.4,0.1541408747,0.0,-0.0
0.9362775683,0.4,0.1637523472,0.0,-0.0
0.9266468287,0.4,0.1733627468,0.0,-0.0
0.917016089,0.4,0.1829719543,0.0,-0.0
0.9073853493,0.4,0.1925798208,0.0,-0.0
0.8977546096,0.4,0.2021861076,0.0,-0.0
0.8881238699,0.4,0.211790666,0.0,-0.0
0.8784931302,0.4,0.2213933468,0.0,-0.0
0.8688624501,0.4,0.2309939116,0.0,-0.0
