x,y,p,u,v
0.1533138305,0.1801478714,3.477235556,0.01221768837,-0.02696540579
0.1527086049,0.1816592813,3.533241749,0.01051553991,-0.02516386472
0.153367281,0.1819850951,3.541257143,0.0,0.0
0.1526340246,0.1797834486,3.456520081,0.02480589785,-0.05274422839
0.1520314962,0.1813243479,3.512420654,0.02138097584,-0.04904023185
0.1521580815,0.1831919551,3.586895704,0.008840627037,-0.02307353728
0.1528143883,0.1834891737,3.595095396,0.0,0.0
0.1519352347,0.1794088334,3.431201696,0.03803977743,-0.07771708071
0.1513354629,0.1809800565,3.486929893,0.03293516487,-0.07219628245
0.1514834166,0.1828864217,3.565682888,0.01811812632,-0.04500178248
0.1516607404,0.1847431213,3.635927916,0.007285234984,-0.02080031671
0.1523149014,0.1850118041,3.643956184,0.0,0.0
0.1512169689,0.1790237874,3.406212807,0.05194653571,-0.1018448398
0.1506200284,0.1806261837,3.461701393,0.0452096276,-0.09459840506
0.1507898867,0.1825723499,3.539810658,0.02812453546,-0.06629678607
0.1509882659,0.1844668984,3.614891768,0.01511711534,-0.04073930159
0.151198864,0.1863054484,3.680533171,0.006015325431,-0.01886111684
0.1518510282,0.18654567,3.688672304,0.0,0.0
0.1504787356,0.1786280423,3.381807327,0.06648590416,-0.1251185238
0.1498847157,0.1802624613,3.437025309,0.05816786364,-0.116237931
0.1500770301,0.1822495311,3.514280796,0.03889221326,-0.08692645282
0.1502970159,0.1841829717,3.588994265,0.02370627224,-0.06013270095
0.1505284458,0.1860585064,3.659422636,0.01256133988,-0.03677237034
0.150796935,0.1878846437,3.722050667,0.004790252075,-0.01662277244
0.1514473557,0.1880964786,3.730275393,0.0,0.0
0.1497200578,0.1782213151,3.358027458,0.08163535595,-0.14752312
0.1491290331,0.1798886657,3.412950516,0.07178971916,-0.1370999664
0.1493443698,0.1819177419,3.489332438,0.05038574338,-0.1068814024
0.1495864838,0.1838911176,3.563344717,0.03308959305,-0.07894578576
0.1498392969,0.1858046651,3.633477449,0.0198846627,-0.05420545861
0.1501282901,0.187666893,3.700693846,0.01018215157,-0.03247805685
0.1504463553,0.1894763112,3.757978916,0.003732689423,-0.01434204262
0.1510952711,0.1896597892,3.765990257,0.0,0.0
0.1489404142,0.1778033674,3.334875107,0.09736581147,-0.1690470725
0.1483524591,0.1795045286,3.389480352,0.08604834974,-0.1571723074
0.1485914141,0.1815767586,3.464989662,0.0625872761,-0.12614654
0.1488562226,0.1835911721,3.538228512,0.04323389381,-0.09716761112
0.1491309404,0.1855437458,3.607759714,0.02802497707,-0.07113435119
0.149440974,0.1874430627,3.674496174,0.01637154818,-0.04792910069
0.1497792602,0.1892876923,3.73691678,0.008117191494,-0.02811713703
0.1501341462,0.1910761148,3.788802862,0.002886876464,-0.01226526126
0.1507817209,0.1912312806,3.796857834,0.0,0.0
0.1481392831,0.177373901,3.312400103,0.1136484146,-0.189679414
0.147554487,0.1791098118,3.366666317,0.1009169146,-0.1764431596
0.1478176415,0.1812263429,3.441242456,0.07547225803,-0.1447092295
0.1481057256,0.1832828969,3.513691425,0.05412359536,-0.1147828251
0.1484028995,0.1852755696,3.582561016,0.03695264831,-0.08755023032
0.148734495,0.1872129887,3.648620367,0.02339858003,-0.06295050681
0.1490935385,0.1890938133,3.710843086,0.01330953743,-0.04155942053
0.1494684517,0.1909166127,3.767793894,0.006423453335,-0.02394672483
0.1498806626,0.1926864982,3.815814495,0.002139226999,-0.01003132202
0.1505271345,0.1928134114,3.82390976,0.0,0.0
0.1473161429,0.176932618,3.290607452,0.1304518729,-0.2094107568
0.1467345953,0.1787042618,3.344514132,0.1163660064,-0.1949021369
0.1470225453,0.1808662713,3.418137312,0.0890161097,-0.1625572145
0.1473344862,0.1829661131,3.489728212,0.06573618203,-0.131778717
0.1476546824,0.1849999726,3.557925463,0.04665451497,-0.1034392118
0.1480083913,0.1869765222,3.623301506,0.03123392351,-0.07753321528
0.1483887136,0.1888945252,3.684993267,0.01935406029,-0.05464252084
0.1487841457,0.1907526404,3.741803408,0.01077432837,-0.03534907848
0.1492160708,0.1925560534,3.794654608,0.004960358609,-0.0196039658
0.1496819556,0.1943047345,3.837231874,0.001542771701,-0.007749371231
0.1503275782,0.19440341,3.845106125,0.0,0.0
0.1464704573,0.1764792651,3.269498587,0.1477442086,-0.2282326519
0.1458922476,0.1782875955,3.32302475,0.1323653758,-0.2125397772
0.1462056041,0.1804963201,3.395675659,0.1031916291,-0.179679513
0.1465419829,0.1826405972,3.466385841,0.07804920524,-0.1481429785
0.1468857825,0.1847167611,3.533845663,0.05711042136,-0.1187891513
0.147262156,0.1867334992,3.598556042,0.03986648098,-0.09166394174
0.1476642936,0.1886897087,3.659648657,0.02622367628,-0.06735670567
0.1480807811,0.1905841082,3.716006041,0.01598560438,-0.04645421356
0.148532927,0.1924219429,3.768509865,0.008603640832,-0.02895485796
0.1490182579,0.1942033023,3.816308975,0.003788600676,-0.01520069689
0.1495242417,0.1959275752,3.852771044,0.001123463386,-0.00556503702
0.1501691788,0.1959980279,3.86052227,0.0,0.0
0.1450269073,0.1778595597,3.302200079,0.1488830149,-0.2293478698
0.1453662962,0.1801162362,3.373860836,0.1179705635,-0.1960660517
0.1457277238,0.1823061407,3.443668842,0.09103751928,-0.1638644934
0.146095708,0.1844257265,3.510369062,0.06830010563,-0.1335880756
0.1464953125,0.1864837706,3.574361801,0.0492781885,-0.1053311527
0.1469198018,0.1884792,3.634851933,0.03390928358,-0.07968939096
0.1473578662,0.1904108822,3.690691948,0.0220330935,-0.05725502223
0.1478307545,0.1922841072,3.742651224,0.01311565749,-0.03806889057
0.1483360231,0.1940990388,3.790228844,0.006858578883,-0.02248853073
0.1488612443,0.1958551407,3.832043648,0.00294890441,-0.01089437492
0.1494169682,0.1975546181,3.863562584,0.0008419356891,-0.003362440504
0.1500614434,0.1975968778,3.871332884,0.0,0.0
0.1445040852,0.1797257662,3.352696657,0.1333229393,-0.2117078006
0.1448911577,0.1819625348,3.421582937,0.1046748012,-0.1789328754
0.1452839226,0.1841267198,3.487501383,0.08020053059,-0.1478249729
0.1457073241,0.1862271577,3.550763369,0.0594509691,-0.1185234785
0.1461547315,0.1882628947,3.610586882,0.04239456728,-0.09162983298
0.1466149241,0.190232873,3.665909767,0.02890962921,-0.06774106622
0.1471090615,0.1921424419,3.717310905,0.01847193763,-0.04693983868
0.1476347744,0.1939918548,3.764403105,0.01080385502,-0.02959746309
0.1481797248,0.1957806796,3.806066751,0.005598595832,-0.0161066819
0.1487544477,0.1975111663,3.842777014,0.002385383006,-0.006563946139
0.149373576,0.199184671,3.869628668,0.0006876963307,-0.001110283658
0.1500178725,0.1991987526,3.877429724,0.0,0.0
0.1441380233,0.1774198711,3.282019138,0.1658864021,-0.2453190833
0.14361839,0.1793246716,3.332169533,0.1492174715,-0.2265968919
0.1440317482,0.1816095263,3.40012598,0.1189331263,-0.193338722
0.1444499046,0.1838195175,3.465245485,0.09278738499,-0.1614895016
0.1448976994,0.1859634817,3.527760983,0.07036387175,-0.131230399
0.145368591,0.1880406141,3.58690238,0.05166327208,-0.1031675488
0.1458514333,0.1900499314,3.641644239,0.03660068661,-0.0779030174
0.1463673711,0.1919968575,3.692516804,0.0246669203,-0.05555883795
0.1469140351,0.1938817054,3.7390728,0.01559960004,-0.03652142733
0.1474792212,0.1957041472,3.780316591,0.009126688354,-0.021192085
0.148073405,0.1974664927,3.816719532,0.004758421332,-0.009694605134
0.1487112492,0.1991701871,3.848798513,0.002070555231,-0.002178438473
0.142708689,0.1789127141,3.31225419,0.1656223536,-0.2407260686
0.1431489587,0.1812469363,3.379295111,0.1337830126,-0.2070736885
0.1435931176,0.1835039258,3.44359684,0.1060347259,-0.17457214
0.1440659016,0.1856925935,3.505354404,0.08199466765,-0.1434419751
0.1445608437,0.187812224,3.56379962,0.06169622764,-0.1142928824
0.1450669169,0.1898619384,3.617943764,0.04509175569,-0.08773158491
0.1456051767,0.191847235,3.668236017,0.03168750927,-0.06391794235
0.1461733282,0.1937685013,3.714278936,0.02124188095,-0.04325287044
0.1467592418,0.195625484,3.75503993,0.01350866631,-0.02614702098
0.1473734081,0.1974205822,3.790951014,0.008011887781,-0.01274874434
0.1480304152,0.1991553009,3.822710037,0.004295537714,-0.003224006388
0.1422422379,0.1808744967,3.359066486,0.1491941512,-0.2201302946
0.1427130103,0.1831797361,3.422552824,0.119915165,-0.1870642602
0.1432113945,0.1854143143,3.48354125,0.09431935847,-0.1551490277
0.1437309682,0.1875775903,3.541280031,0.07247298956,-0.1249966472
0.1442608535,0.1896688044,3.594810963,0.0543653816,-0.09721811861
0.1448219866,0.1916934997,3.644512177,0.03952089325,-0.07200926542
0.145412147,0.1936521679,3.689983606,0.0277185645,-0.04978528991
0.1460193098,0.1955446452,3.730288029,0.01874192804,-0.03096626885
0.1466539502,0.1973734051,3.765686274,0.01212131232,-0.01572507806
0.1473306119,0.1991399974,3.796904325,0.007399953902,-0.004244071431
0.1418090463,0.1828467697,3.402103901,0.134400025,-0.1989582032
0.1423336267,0.1851284653,3.462317228,0.1073124409,-0.1663431078
0.142878443,0.1873365492,3.519340754,0.08397131413,-0.1352702677
0.1434327066,0.1894703656,3.572247744,0.06440277398,-0.1063543335
0.1440172791,0.1915355325,3.621346951,0.0481511727,-0.07982539386
0.1446299851,0.1935326308,3.666236162,0.03501813859,-0.05611235276
0.1452589333,0.1954615861,3.706019878,0.02481514029,-0.03564522788
0.1459145397,0.1973249018,3.740953922,0.0170843862,-0.01862052642
0.1466113627,0.1991242766,3.771621227,0.01136317663,-0.005238314159
0.1413110048,0.1804919988,3.339442015,0.165135026,-0.2325018346
0.1408806443,0.1825048029,3.382239819,0.1494591385,-0.2102472633
0.1414320618,0.1848348528,3.441673517,0.1209468693,-0.1770165712
0.1420027316,0.1870889366,3.49797678,0.09616741538,-0.1451058388
0.1425819546,0.1892665178,3.550251007,0.07518332452,-0.1151325181
0.1431905329,0.1913732439,3.598741293,0.0575610958,-0.08735925704
0.1438263506,0.1934098154,3.643038988,0.04312582314,-0.06222814694
0.1444776058,0.1953762174,3.682290316,0.03171778098,-0.0401793085
0.1451547146,0.1972750723,3.716705322,0.02289043553,-0.02143253759
0.1458721757,0.1991081089,3.746854305,0.01618167013,-0.006205563899
0.1399272531,0.1821536273,3.362942219,0.1650612205,-0.2209254801
0.1405061334,0.1845333129,3.421597719,0.135194242,-0.1871625632
0.1411032528,0.1868346184,3.477180243,0.1090359315,-0.1544960737
