x,y,p,u,v
1.100000024,0.1959183663,0.0,0.9996442795,1.743635221e-05
1.100000024,0.1877551079,0.0,0.9962900281,8.894858911e-05
1.100000024,0.1795918345,0.0,0.9895839095,0.0001574873022
1.100000024,0.1714285761,0.0,0.9795267582,0.0002199138107
1.100000024,0.1632653028,0.0,0.9661203623,0.0002742643992
1.100000024,0.1551020443,0.0,0.9493684769,0.0003195457684
1.100000024,0.146938771,0.0,0.9292753339,0.0003538529272
1.100000024,0.1387755126,0.0,0.9058458209,0.0003766064474
1.100000024,0.1306122541,0.0,0.8790848851,0.0003875724215
1.100000024,0.1224489808,0.0,0.8489979506,0.0003869490174
1.100000024,0.1142857149,0.0,0.8155899644,0.0003751546319
1.100000024,0.106122449,0.0,0.7788652182,0.0003535393043
1.100000024,0.09795918316,0.0,0.7388278842,0.0003241940867
1.100000024,0.08979591727,0.0,0.6954808235,0.0002887851151
1.100000024,0.08163265139,0.0,0.6488260031,0.0002493550419
1.100000024,0.0734693855,0.0,0.5988640189,0.0002082200372
1.100000024,0.06530612707,0.0,0.5455940962,0.0001672697545
1.100000024,0.05714285746,0.0,0.4890145361,0.0001283457386
1.100000024,0.04897959158,0.0,0.4291221797,9.29211601e-05
1.100000024,0.04081632569,0.0,0.3659130037,6.208427658e-05
1.100000024,0.03265306354,0.0,0.2993837297,3.691643724e-05
1.100000024,0.02448979579,0.0,0.2295313627,1.771493044e-05
1.100000024,0.01632653177,0.0,0.1563514322,4.616501428e-06
1.100000024,0.008163265884,0.0,0.07983873039,-2.684952733e-06
1.100000024,0.0,0.002322096843,0.0,0.0
1.100000024,0.20408163370000001,0.0,0.9996442795,-1.743635221e-05
1.100000024,0.21224489210000003,0.0,0.9962900281,-8.894858911e-05
1.100000024,0.22040816550000003,0.0,0.9895839095,-0.0001574873022
1.100000024,0.22857142390000001,0.0,0.9795267582,-0.0002199138107
1.100000024,0.2367346972,0.0,0.9661203623,-0.0002742643992
1.100000024,0.24489795570000003,0.0,0.9493684769,-0.0003195457684
1.100000024,0.25306122900000005,0.0,0.9292753339,-0.0003538529272
1.100000024,0.26122448740000004,0.0,0.9058458209,-0.0003766064474
1.100000024,0.26938774590000003,0.0,0.8790848851,-0.0003875724215
1.100000024,0.2775510192,0.0,0.8489979506,-0.0003869490174
1.100000024,0.2857142851,0.0,0.8155899644,-0.0003751546319
1.100000024,0.293877551,0.0,0.7788652182,-0.0003535393043
1.100000024,0.30204081684,0.0,0.7388278842,-0.0003241940867
1.100000024,0.31020408273,0.0,0.6954808235,-0.0002887851151
1.100000024,0.31836734861000004,0.0,0.6488260031,-0.0002493550419
1.100000024,0.32653061450000004,0.0,0.5988640189,-0.0002082200372
1.100000024,0.33469387293,0.0,0.5455940962,-0.0001672697545
1.100000024,0.34285714254,0.0,0.4890145361,-0.0001283457386
1.100000024,0.35102040842000004,0.0,0.4291221797,-9.29211601e-05
1.100000024,0.35918367431000003,0.0,0.3659130037,-6.208427658e-05
1.100000024,0.36734693646000005,0.0,0.2993837297,-3.691643724e-05
1.100000024,0.37551020421000003,0.0,0.2295313627,-1.771493044e-05
1.100000024,0.38367346823000004,0.0,0.1563514322,-4.616501428e-06
1.100000024,0.391836734116,0.0,0.07983873039,2.684952733e-06
1.100000024,0.4,0.002322096843,0.0,-0.0
