hidden_size,architecture,total_params,clusters,compression_ratio,train_time_s,mae,rmse
20,"[2, 20, 20, 20, 2]",880,77,91.25,2.307415723800659,0.0003188444320089814,0.0004048507084478093
40,"[2, 40, 40, 40, 2]",3360,93,97.23214285714286,3.332580089569092,0.0003697605333415422,0.0004497323847520806
60,"[2, 60, 60, 60, 2]",7440,107,98.56182795698925,3.7852790355682373,0.00018337445101209696,0.00023576629939089236
80,"[2, 80, 80, 80, 2]",13120,118,99.10060975609755,3.901890754699707,0.0001352978488787084,0.00016492205270639767
100,"[2, 100, 100, 100, 2]",20400,131,99.3578431372549,4.182110071182251,7.91103876845922e-05,9.727369402961789e-05
200,"[2, 200, 200, 200, 2]",80800,154,99.80940594059406,7.73515510559082,5.041150150837837e-05,6.98140225155282e-05
500,"[2, 500, 500, 500, 2]",502000,33,99.99342629482072,12.596920728683472,2.1512983614037395e-05,3.287778878414865e-05
