epsilon,total_params,total_clusters,compression_ratio,mae,rmse
0.01,3360,376,88.80952380952381,0.00016403225164346956,0.0002113396509325744
0.05,3360,147,95.625,0.00019009707868059017,0.0002538091946957931
0.1,3360,101,96.99404761904762,0.00022120256818748704,0.0003099413898530692
0.15,3360,75,97.76785714285714,0.0004413789205071945,0.0005283347996309342
0.2,3360,62,98.1547619047619,0.00029842570797127763,0.0003976165943193907
0.3,3360,46,98.63095238095238,0.0001541439198792493,0.00021150741004476533
