Voltage_V,Current_A,State_x
0.000000e+00,0.000000e+00,1.000000e-01
1.212121e-02,1.492944e-07,1.000000e-01
2.424242e-02,2.985888e-07,1.000000e-01
3.636364e-02,4.478832e-07,1.000000e-01
4.848485e-02,5.971776e-07,1.000000e-01
6.060606e-02,7.464720e-07,1.000000e-01
7.272727e-02,8.957664e-07,1.000000e-01
8.484848e-02,1.045061e-06,1.000000e-01
9.696970e-02,1.194355e-06,1.000000e-01
1.090909e-01,1.343650e-06,1.000000e-01
1.212121e-01,1.492944e-06,1.000000e-01
1.333333e-01,1.642238e-06,1.000000e-01
1.454545e-01,1.791533e-06,1.000000e-01
1.575758e-01,1.940827e-06,1.000000e-01
1.696970e-01,2.090122e-06,1.000000e-01
1.818182e-01,2.239416e-06,1.000000e-01
1.939394e-01,2.388710e-06,1.000000e-01
2.060606e-01,2.538005e-06,1.000000e-01
2.181818e-01,2.687299e-06,1.000000e-01
2.303030e-01,2.836594e-06,1.000000e-01
2.424242e-01,2.985888e-06,1.000000e-01
2.545455e-01,3.135182e-06,1.000000e-01
2.666667e-01,3.284477e-06,1.000000e-01
2.787879e-01,3.433771e-06,1.000000e-01
2.909091e-01,3.583066e-06,1.000000e-01
3.030303e-01,3.732360e-06,1.000000e-01
3.151515e-01,3.881654e-06,1.000000e-01
3.272727e-01,4.030949e-06,1.000000e-01
3.393939e-01,4.180243e-06,1.000000e-01
3.515152e-01,4.329538e-06,1.000000e-01
3.636364e-01,4.478832e-06,1.000000e-01
3.757576e-01,4.628126e-06,1.000000e-01
3.878788e-01,4.777421e-06,1.000000e-01
4.000000e-01,4.926715e-06,1.000000e-01
4.121212e-01,5.076010e-06,1.000000e-01
4.242424e-01,5.225304e-06,1.000000e-01
4.363636e-01,5.374598e-06,1.000000e-01
4.484848e-01,5.523893e-06,1.000000e-01
4.606061e-01,5.673187e-06,1.000000e-01
4.727273e-01,5.822481e-06,1.000000e-01
4.848485e-01,5.971776e-06,1.000000e-01
4.969697e-01,6.121070e-06,1.000000e-01
5.090909e-01,6.270365e-06,1.000000e-01
5.212121e-01,6.419659e-06,1.000000e-01
5.333333e-01,6.568953e-06,1.000000e-01
5.454545e-01,6.718248e-06,1.000000e-01
5.575758e-01,6.867542e-06,1.000000e-01
5.696970e-01,7.016837e-06,1.000000e-01
5.818182e-01,7.166131e-06,1.000000e-01
5.939394e-01,7.315425e-06,1.000000e-01
6.060606e-01,7.464720e-06,1.000000e-01
6.181818e-01,7.614014e-06,1.000000e-01
6.303030e-01,7.763309e-06,1.000000e-01
6.424242e-01,7.912603e-06,1.000000e-01
6.545455e-01,8.061897e-06,1.000000e-01
6.666667e-01,8.211192e-06,1.000000e-01
6.787879e-01,8.360486e-06,1.000000e-01
6.909091e-01,8.509781e-06,1.000000e-01
